,orderID,productID,unitPrice,quantity,discount,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight,_merge_x,productName,quantityPerUnit,ProdUnitPrice,discontinued,categoryID,categoryName,description,_merge_y,companyNameShipper,CustomerCompanyName,CustomertName,contactTitle,CustomerCity,CustomerCountry,employeeName,EmployeeTitle,EmployeeCity,EmployeeCountry,EmpReportsTo,SalesAmount(USD),OrderYear,OrderMonth,OrderQuarter,daysToShip
0,10248,11,14.0,12,0.0,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,both,Queso Cabrales,1 kg pkg.,21.0,0,4,Dairy Products,Cheeses,both,Federal Shipping,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,Andrew Fuller,168.0,2013,July,Q3,12.0
1,10248,42,9.8,10,0.0,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,both,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,14.0,1,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",both,Federal Shipping,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,Andrew Fuller,98.0,2013,July,Q3,12.0
2,10248,72,34.8,5,0.0,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,both,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,4,Dairy Products,Cheeses,both,Federal Shipping,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,Andrew Fuller,174.0,2013,July,Q3,12.0
3,10249,14,18.6,9,0.0,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61,both,Tofu,40 - 100 g pkgs.,23.25,0,7,Produce,Dried fruit and bean curd,both,Speedy Express,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Michael Suyama,Sales Representative,London,UK,Steven Buchanan,167.4,2013,July,Q3,5.0
4,10249,51,42.4,40,0.0,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61,both,Manjimup Dried Apples,50 - 300 g pkgs.,53.0,0,7,Produce,Dried fruit and bean curd,both,Speedy Express,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Michael Suyama,Sales Representative,London,UK,Steven Buchanan,1696.0,2013,July,Q3,5.0
5,10250,41,7.7,10,0.0,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,both,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,8,Seafood,Seaweed and fish,both,United Package,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,77.0,2013,July,Q3,4.0
6,10250,51,42.4,35,0.15,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,both,Manjimup Dried Apples,50 - 300 g pkgs.,53.0,0,7,Produce,Dried fruit and bean curd,both,United Package,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,1483.85,2013,July,Q3,4.0
7,10250,65,16.8,15,0.15,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,both,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",both,United Package,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,251.85,2013,July,Q3,4.0
8,10251,22,16.8,6,0.05,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34,both,Gustaf's Knackebröd,24 - 500 g pkgs.,21.0,0,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",both,Speedy Express,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,100.75000000000001,2013,July,Q3,7.0
9,10251,57,15.6,15,0.05,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34,both,Ravioli Angelo,24 - 250 g pkgs.,19.5,0,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",both,Speedy Express,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,233.95,2013,July,Q3,7.0
